Colonne1,code_region,region_x,continent,annee,agriculture,autres_sources,dechets,foret,procedes_industriels_utilisation_produits,secteur_residentiel_commercial_institutionnel_AFP,source_utilisation_terres,transport,energies,emissions_totale,variation_temperature,ecart_type,region,population_totale
426,5503,Micron√©sie,Océanie,1998,55.5217,0.2182,91.8891,-532.0615,11.3544,8.4704,412.7132,13.6755,2.949,64.72999999999995,0.309,0.149,Micron√©sie,474369.0
427,5503,Micron√©sie,Océanie,1999,55.7168,0.2107,93.821,-532.0502,11.5102,9.2686,412.702,13.4729,3.3158,67.9678,0.09300000000000001,0.149,Micron√©sie,479990.0
428,5503,Micron√©sie,Océanie,2000,56.4321,0.2297,95.7616,-532.039,11.6861,7.6169,412.6907,16.5251,3.6911,72.59430000000002,0.385,0.149,Micron√©sie,484775.0
429,5503,Micron√©sie,Océanie,2001,57.5735,0.2284,97.8249,-528.5605,11.8546,8.7509,412.7591,16.0427,3.8839,80.35749999999994,0.561,0.149,Micron√©sie,488767.0
430,5503,Micron√©sie,Océanie,2002,58.3026,0.2282,99.8159,-528.5498,12.0687,9.2439,412.7485,15.7869,4.0667,83.71159999999995,0.5760000000000001,0.149,Micron√©sie,492040.0
431,5503,Micron√©sie,Océanie,2003,58.3985,0.2241,101.8328,-528.5392,12.2738,9.1922,412.7379,15.4255,4.0567,85.60229999999999,0.405,0.149,Micron√©sie,494659.0
432,5503,Micron√©sie,Océanie,2004,58.2749,0.2114,103.8834,-528.5286,12.4751,12.2581,412.7272,13.8999,3.7989,89.00029999999998,0.56,0.149,Micron√©sie,496716.0
433,5503,Micron√©sie,Océanie,2005,58.3778,0.2073,105.8832,-528.518,12.671,9.9264,412.7167,14.2507,3.9262,89.44129999999996,0.541,0.149,Micron√©sie,498286.0
434,5503,Micron√©sie,Océanie,2006,58.418,0.2083,107.9268,-386.8657,12.8839,9.7542,412.7061,13.9636,3.9936,232.9888,0.53,0.149,Micron√©sie,499379.0
435,5503,Micron√©sie,Océanie,2007,59.1888,0.2163,110.2342,-386.8528,13.1154,16.444000000000003,412.6932,13.7186,3.9361,242.69379999999998,0.46399999999999997,0.149,Micron√©sie,500088.0
436,5503,Micron√©sie,Océanie,2008,59.6334,0.2143,112.7339,-386.8399,13.3268,17.7622,412.6803,13.1937,3.8934,246.59810000000002,0.294,0.149,Micron√©sie,500734.00000000006
437,5503,Micron√©sie,Océanie,2009,59.8624,0.2166,115.3581,-386.8269,13.5481,20.3809,412.6673,12.8576,3.8808,251.94489999999996,0.503,0.149,Micron√©sie,501798.0
438,5503,Micron√©sie,Océanie,2010,60.0245,0.2189,118.1747,-386.814,13.7694,22.9995,412.6544,12.5016,3.8793,257.4083,0.0,0.0,Micron√©sie,503579.0
439,5504,Polyn√©sie,Océanie,1990,260.6393,17.684,102.0628,-4567.7427,20.9408,400.7133,65.9294,336.6546,357.2391,-3005.8794,0.34700000000000003,0.221,Polyn√©sie,549965.0
440,5504,Polyn√©sie,Océanie,1991,262.5212,17.0377,104.712,-4567.8534,21.3499,372.0844,66.0401,329.6138,351.3809,-3043.1133999999997,0.26,0.221,Polyn√©sie,556790.9999999999
441,5504,Polyn√©sie,Océanie,1992,263.4969,17.9142,106.7796,-4567.9652,21.735,304.0885,66.1519,394.0198,360.0069,-3033.7724000000003,0.177,0.221,Polyn√©sie,563520.0
442,5504,Polyn√©sie,Océanie,1993,271.155,17.2964,108.6568,-4568.0781,22.0992,327.7863,66.2648,359.2053,362.9585,-3032.6558000000005,-0.004,0.221,Polyn√©sie,570190.0
443,5504,Polyn√©sie,Océanie,1994,273.9348,14.3575,110.3823,-4568.1921,22.4473,225.8279,66.3788,317.399,301.3686,-3236.0959000000003,0.305,0.221,Polyn√©sie,576837.0
444,5504,Polyn√©sie,Océanie,1995,266.8331,14.0392,112.0412,-4568.3072,22.7855,250.7358,66.494,336.2663,285.3047,-3213.8074,0.57,0.221,Polyn√©sie,583488.0
445,5504,Polyn√©sie,Océanie,1996,269.127,13.7139,113.7358,-4568.4235,23.111,248.7724,66.7562,355.8748,279.2934,-3198.0390000000007,0.289,0.221,Polyn√©sie,590145.0
446,5504,Polyn√©sie,Océanie,1997,267.4909,12.9181,115.0699,-4568.541,23.4244,292.6148,66.8737,381.4151,268.7748,-3139.9593,0.26,0.221,Polyn√©sie,596725.0
447,5504,Polyn√©sie,Océanie,1998,272.2953,12.8758,116.7338,-4568.6597,23.7381,290.0687,69.3394,372.6127,276.1564,-3134.8395000000014,0.866,0.221,Polyn√©sie,603306.0
448,5504,Polyn√©sie,Océanie,1999,283.1093,12.3993,118.3928,-4568.7796,24.0677,323.3334,67.3078,359.5936,284.7525,-3095.8232000000003,0.168,0.221,Polyn√©sie,609856.0
